Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Curacao,90.86921457,91.06014706,91.09703165,91.12782674,91.15340531,91.17469236,91.19261291,91.20809198,91.22205456,91.23542567,91.24913033,91.26394162,91.27913006,91.29387859,91.30820308,91.32204716,91.33535446,91.34806859,91.36013317,91.37149182,91.38208817,91.39186583,91.40076844,91.40809293,91.43218124,
Cayman Islands,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Cyprus,68.77269668,68.80240681,68.78635894,68.71209732,68.59081414,68.43406742,68.25341517,68.0604154,67.86662613,67.68360538,67.52291116,67.39798928,67.30102891,67.21023336,67.12305588,67.04024779,66.96256041,66.89074506,66.82555305,66.76773571,66.71804435,66.67183654,66.66948294,66.67394775,66.68242592,
Czechia,74.00382565,73.91317525,73.83600676,73.76491502,73.69916472,73.63755454,73.57888319,73.52194936,73.46555174,73.40848903,73.34955992,73.28783384,73.22492396,73.16221869,73.0995921,73.03704429,72.97457534,72.91218536,72.84987444,72.78764267,72.72549016,72.68105944,72.69676384,72.73523884,72.79479846,
Germany,80.09421609,80.10708083,80.12139738,80.13731163,80.15496949,80.17451685,80.19609961,80.21986366,80.24595491,80.27451924,80.30570256,80.34057629,80.39344752,80.47323184,80.57574024,80.69743716,80.83478707,80.9842544,81.14230362,81.30539917,81.4700055,81.63258707,81.78678528,81.90343667,82.02114326,
Djibouti,73.34863616,72.89353273,72.45033576,72.03044141,71.64524578,71.306145,71.02453521,70.81181252,70.67937306,70.63832516,70.64865548,70.67765325,70.72663113,70.79693313,70.88990322,71.00688539,71.14922363,71.31826193,71.51534428,71.74181466,71.99901705,72.28829546,72.61099385,72.8408246,72.90526351,
Dominica,65.23527443,65.35860679,65.52092504,65.72441631,65.96530938,66.24007249,66.54517388,66.87708178,67.23226444,67.60719009,67.99832699,68.39781656,68.75460934,69.1197042,69.49078471,69.86791535,70.25116057,70.64058486,71.03625268,71.43822849,71.84657678,72.261362,72.68264864,73.11050114,73.544984,
Denmark,85.09999847,85.18830788,85.30000305,85.41999817,85.71302769,86.00597068,86.25012881,86.42514644,86.58313751,86.76176531,86.865242,87.1567654,87.23361969,87.54365248,87.68239857,87.72540566,87.69999695,88.01619438,88.10597623,88.20964908,88.23944855,88.26164493,88.38802398,88.55263854,88.69605527,
Dominican Republic,61.31285492,62.29794503,63.29140225,64.42619713,65.89140852,67.57591805,69.33385371,71.0193435,72.48651543,73.58949749,74.16427732,74.24403895,74.239868,74.225136,74.19315338,74.1372306,74.05067807,73.92680625,73.75892557,73.54034647,73.26437938,72.92433474,72.42031556,72.35779918,72.41218748,
Algeria,59.85212394,60.61771728,61.38126586,62.1427908,62.9023132,63.65985419,64.41543486,65.16907633,65.90148587,66.50973846,67.12350579,67.73440075,68.34212586,68.94638361,69.54687652,70.14330709,70.73537783,71.32279124,71.90524985,72.48245614,73.05411263,73.61992183,74.17958624,74.73280836,75.27929072,
East Asia & Pacific (excluding high income),36.70985689,37.78418551,38.99628423,40.21208397,41.2783335,42.33969148,43.47697306,44.73530955,45.69334966,46.83443552,47.65608124,49.61404887,50.67570554,51.81221907,52.85657561,54.11146568,55.31861152,56.46546383,57.65027054,58.65556928,59.37052456,60.35261317,60.85939686,61.22764635,61.61255379,
Early-demographic dividend,38.08038177,38.4624516,38.84499977,39.23722449,39.64074349,40.04911996,40.45967609,40.8566742,41.28946694,41.72085341,42.13251533,42.55386929,43.0048414,43.52322981,44.00738004,44.45032339,44.80979685,45.12493606,45.43497729,45.76495961,46.08124523,46.37526008,46.69692434,47.0167431,47.34444447,
East Asia & Pacific,41.63434131,42.61548947,43.76848532,44.95131091,46.01391338,47.04084998,48.11785182,49.30491094,50.21786798,51.26916036,52.01870367,53.76520479,54.69996401,55.6959159,56.61267947,57.72331434,58.79219423,59.80370838,60.85152598,61.74355601,62.37414181,63.23519298,63.68282444,64.02443709,64.37440312,
Europe & Central Asia (excluding high income),56.73375042,57.04032508,57.37930574,57.75929915,58.14438687,58.5206845,58.92202417,59.32456546,59.76263037,60.22280458,60.72510704,61.32147734,62.26695315,63.85000396,65.56559959,66.81358449,67.20287418,67.29084252,67.44649929,67.75170862,67.95471779,68.15042546,68.16289393,68.16215494,68.27318867,
Europe & Central Asia,68.65697333,68.86628709,69.05784813,69.24840248,69.40431668,69.56565453,69.7661316,69.96757386,70.16428876,70.35233181,70.58313962,70.81552936,71.15049378,71.67864575,72.23738947,72.6866697,72.93032055,73.03961434,73.18036559,73.36267126,73.49563501,73.62258644,73.72926827,73.8432015,73.97019769,
Ecuador,60.68650051,61.0123544,61.28712681,61.54184699,61.78295733,62.00687041,62.20999884,62.38875521,62.5395521,62.65880212,62.74052586,62.79490535,62.84087328,62.88372866,62.92324322,62.95918868,62.99133676,63.01945918,63.04332768,63.06271397,63.07738978,63.08712682,63.09018359,63.13077296,63.23769324,
"Egypt, Arab Rep.",42.73393989,42.78355068,42.83476295,42.88346855,42.92555934,42.95692714,42.97299917,42.97296663,42.96089891,42.93834706,42.90571755,42.86341685,42.81185141,42.75142772,42.68255223,42.60563141,42.52107173,42.44860087,42.45771774,42.48120273,42.51815346,42.56860626,42.6325129,42.7098115,42.80043639,
Euro area,73.62058693,73.87456341,74.06398443,74.22589814,74.37668557,74.53522201,74.68582662,74.81351547,74.91465579,75.03840891,75.19514853,75.30679453,75.46870252,75.68336918,75.86975741,76.08236209,76.34907421,76.47374065,76.63462523,76.80772806,76.92318967,77.03332779,77.15445778,77.27595995,77.40225829,
Eritrea,34.09836197,34.3253212,34.54207993,34.74512863,34.9324646,35.10220337,35.2525177,35.38209534,35.48971176,35.57420349,35.634655,35.67062759,35.68242645,35.67133331,35.63972092,35.59100723,35.52542877,35.44271469,35.34510422,35.23523331,35.11613846,34.98711395,34.84692764,34.6964035,34.53655243,
Spain,76.16505523,76.31568895,76.49342172,76.70933559,76.95496275,77.22068019,77.49686488,77.77389379,78.0421439,78.29199219,78.51381562,78.69539796,78.84556803,78.98580869,79.11967138,79.24548927,79.36159553,79.46632331,79.55800578,79.63497611,79.69556746,79.7846243,79.95487946,80.128491,80.31519982,
Estonia,67.38552907,67.39264563,67.4090871,67.43417603,67.46735145,67.50805236,67.55571775,67.60978664,67.66969802,67.7348909,67.80480429,67.87755563,67.96295933,68.09234583,68.26683828,68.47966097,68.72403818,68.99319419,69.28035329,69.57873977,69.88157789,70.17772741,70.48923337,70.67700855,70.69811615,
Ethiopia,14.91930962,15.11776733,15.33323383,15.54385376,15.7585907,15.98296738,16.21484756,16.09483303,16.79367065,17.15110016,17.49378395,17.86379051,18.2061367,18.61551476,19.02628708,19.4515667,19.87636185,20.30848503,20.78380966,21.24867058,21.62600517,22.10670853,22.73676872,23.05864716,23.62228394,
