Entity,Year,Greenhouse gas emissions per capita
Latvia,2012,7.0110254
Latvia,2013,6.5237927
Latvia,2014,6.736447
Latvia,2015,7.9012685
Latvia,2016,7.1585083
Latvia,2017,7.1656175
Latvia,2018,7.8792377
Latvia,2019,7.6415896
Latvia,2020,7.376175
Latvia,2021,7.2782493
Latvia,2022,7.261856
Latvia,2023,7.3828692
Latvia,2024,7.404507
Lithuania,2000,0.9737389
Lithuania,2001,3.12326
Lithuania,2002,2.8814695
Lithuania,2003,4.0612216
Lithuania,2004,7.0539308
Lithuania,2005,6.044163
Lithuania,2006,5.7406297
Lithuania,2007,6.6602235
Lithuania,2008,7.706782
Lithuania,2009,7.2918234
Lithuania,2010,7.882605
Lithuania,2011,8.577092
Lithuania,2012,8.966425
Lithuania,2013,8.978904
Lithuania,2014,7.8858285
Lithuania,2015,8.346276
Lithuania,2016,7.993092
Lithuania,2017,8.437925
Lithuania,2018,9.148461
Lithuania,2019,8.820782
Lithuania,2020,8.604642
Lithuania,2021,8.541605
Lithuania,2022,8.039239
Lithuania,2023,7.7618976
Lithuania,2024,7.6165133
Luxembourg,2000,22.655863
Luxembourg,2001,23.390553
Luxembourg,2002,24.78571
Luxembourg,2003,25.483948
Luxembourg,2004,28.082796
Luxembourg,2005,28.176489
Luxembourg,2006,27.541542
Luxembourg,2007,25.852715
Luxembourg,2008,24.97084
Luxembourg,2009,23.405407
Luxembourg,2010,24.208204
Luxembourg,2011,23.436344
Luxembourg,2012,22.401007
Luxembourg,2013,20.968025
Luxembourg,2014,19.523592
Luxembourg,2015,18.145311
Luxembourg,2016,17.356775
Luxembourg,2017,17.272379
Luxembourg,2018,17.3876
Luxembourg,2019,17.416641
Luxembourg,2020,14.402449
Luxembourg,2021,14.675896
Luxembourg,2022,12.558581
Luxembourg,2023,11.682851
Luxembourg,2024,11.798287
Malaysia,2000,10.226903
Malaysia,2001,11.28482
Malaysia,2002,11.518634
Malaysia,2003,11.228907
Malaysia,2004,11.721433
Malaysia,2005,11.474003
Malaysia,2006,11.611814
Malaysia,2007,12.067561
Malaysia,2008,13.073788
Malaysia,2009,13.976342
Malaysia,2010,13.47441
Malaysia,2011,15.164051
Malaysia,2012,15.125122
Malaysia,2013,16.97209
Malaysia,2014,16.486542
Malaysia,2015,14.07767
Malaysia,2016,12.559009
Malaysia,2017,12.030227
Malaysia,2018,11.849826
Malaysia,2019,11.730326
Malaysia,2020,10.885516
Malaysia,2021,11.263446
Malaysia,2022,11.0638895
Malaysia,2023,10.714272
Malaysia,2024,10.931114
Mexico,2000,6.6141043
Mexico,2001,6.528195
Mexico,2002,6.4044704
Mexico,2003,6.559194
Mexico,2004,6.407211
Mexico,2005,6.5458355
Mexico,2006,6.6163616
Mexico,2007,6.424779
Mexico,2008,6.2865143
Mexico,2009,6.018841
Mexico,2010,5.9013143
Mexico,2011,6.0547795
Mexico,2012,6.0874715
Mexico,2013,5.976894
Mexico,2014,5.8076186
Mexico,2015,5.650969
Mexico,2016,5.3409653
Mexico,2017,5.2209024
Mexico,2018,5.1400704
Mexico,2019,5.5542717
Mexico,2020,5.011475
Mexico,2021,4.9409704
Mexico,2022,4.9063706
Mexico,2023,4.8827744
Mexico,2024,4.857969
Netherlands,2000,13.755787
Netherlands,2001,13.915786
Netherlands,2002,13.738292
Netherlands,2003,13.966897
Netherlands,2004,14.10219
Netherlands,2005,13.832226
Netherlands,2006,13.530421
Netherlands,2007,13.350465
Netherlands,2008,13.115754
Netherlands,2009,12.6994705
Netherlands,2010,13.278125
Netherlands,2011,12.345781
Netherlands,2012,12.12254
Netherlands,2013,12.010267
Netherlands,2014,11.540744
Netherlands,2015,11.901897
Netherlands,2016,11.906459
Netherlands,2017,11.586332
Netherlands,2018,11.193614
Netherlands,2019,10.746435
Netherlands,2020,9.725289
Netherlands,2021,9.81627
Netherlands,2022,8.996612
Netherlands,2023,8.295883
Netherlands,2024,8.075445
New Zealand,2000,24.453821
New Zealand,2001,29.251654
New Zealand,2002,26.211681
New Zealand,2003,24.863398
New Zealand,2004,22.393501
New Zealand,2005,21.280134
New Zealand,2006,23.250051
New Zealand,2007,21.490095
New Zealand,2008,23.24036
New Zealand,2009,20.708645
New Zealand,2010,19.921837
New Zealand,2011,20.34534
New Zealand,2012,20.403627
New Zealand,2013,20.620247
New Zealand,2014,20.06685
New Zealand,2015,19.310684
New Zealand,2016,18.758253
New Zealand,2017,18.908691
New Zealand,2018,18.654465
New Zealand,2019,18.285326
New Zealand,2020,18.020779
New Zealand,2021,17.476261
New Zealand,2022,16.382565
New Zealand,2023,15.895441
New Zealand,2024,15.712585
Norway,2000,12.59413
Norway,2001,13.041798
Norway,2002,12.81329
Norway,2003,13.280975
Norway,2004,13.304269
Norway,2005,12.940987
Norway,2006,13.04906
Norway,2007,13.47489
Norway,2008,13.066559
Norway,2009,12.436287
Norway,2010,12.882568
Norway,2011,12.399699
Norway,2012,11.927291
Norway,2013,11.938976
Norway,2014,11.939195
